"","X","chatter","current_events","travel","photo_sharing","uncategorized","tv_film","sports_fandom","politics","food","family","home_and_garden","music","news","online_gaming","shopping","health_nutrition","college_uni","sports_playing","cooking","eco","computers","business","outdoors","crafts","automotive","art","religion","beauty","parenting","dating","school","personal_fitness","fashion","small_business","spam","adult","total"
"1","hmjoe4g3k",2,0,2,2,2,1,1,0,4,1,2,0,0,0,1,17,0,2,5,1,1,0,2,1,0,0,1,0,1,1,0,11,0,0,0,0,61
"2","clk1m5w8s",3,3,2,1,1,1,4,1,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,4,0,0,0,0,0,30
"3","jcsovtak3",6,3,4,3,1,5,0,2,1,1,1,1,1,0,2,0,0,0,2,1,0,0,0,2,0,8,0,1,0,1,0,0,1,0,0,0,47
"4","3oeb4hiln",1,5,2,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,21
"5","fd75x1vgk",5,2,0,6,1,0,0,2,0,1,0,0,0,3,2,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,30
"6","h6nvj91yp",6,4,2,7,0,1,1,0,2,1,1,1,0,0,5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34
"7","ma7kfewxq",1,2,7,1,0,1,1,11,1,0,0,0,1,0,1,1,1,1,1,0,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,38
"8","u48d61ztj",5,3,3,6,1,1,1,0,0,0,0,2,0,1,3,1,0,0,10,0,1,0,0,1,1,0,0,5,1,0,0,0,4,0,0,0,50
"9","y2g68vhkf",6,2,0,1,0,0,0,0,2,2,1,1,0,2,0,22,1,0,5,2,1,1,3,0,0,1,0,5,0,0,1,12,3,1,0,0,75
"10","n467yj1st",5,2,4,4,0,5,9,1,5,4,0,1,0,1,0,7,4,1,4,1,2,0,0,0,4,0,13,1,3,0,3,2,1,0,0,0,87
"11","q9d8z4fyt",2,0,2,5,0,1,4,0,1,0,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,4,0,1,3,4,0,1,2,0,0,37
"12","l38sqjp9e",2,2,0,2,0,3,5,4,5,9,1,1,3,0,0,1,0,0,0,1,0,0,0,0,4,0,11,1,10,0,6,1,0,1,0,4,77
"13","h9ntdqc4u",8,4,0,9,0,1,2,2,4,1,0,1,1,0,8,5,0,1,4,2,0,0,1,1,0,0,0,0,2,0,3,1,1,0,0,0,62
"14","zm8kt97ic",1,0,0,1,0,0,2,0,1,0,3,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,2,1,1,0,0,0,2,1,0,0,20
"15","4odi1h6wq",3,4,1,2,1,1,0,0,0,0,0,0,2,0,1,4,0,0,3,1,1,0,2,0,0,1,0,0,0,1,0,5,0,0,0,0,33
"16","6vyz8cwje",9,0,0,2,0,0,0,1,0,2,0,1,2,5,2,0,2,1,2,0,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,35
"17","n91fxzjl5",1,0,9,1,1,0,2,4,0,1,0,0,4,0,1,1,0,2,1,0,1,0,0,0,1,0,4,1,2,1,0,1,0,0,0,0,39
"18","4wdj6slyu",1,5,3,1,1,0,0,4,2,1,0,0,5,0,0,0,2,0,1,0,5,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,37
"19","3pifxrgs1",3,0,0,2,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14
"20","31mlkes2x",10,1,0,6,1,0,0,3,0,0,1,0,0,7,1,0,4,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,2,0,0,42
"21","2n471r3hv",9,1,0,6,3,8,3,1,5,1,1,10,0,1,6,2,6,0,1,0,1,1,1,0,0,1,1,0,0,1,2,1,2,4,0,0,79
"22","pntrbqmyo",13,2,0,6,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,34
"23","g9xyksvu2",13,0,4,7,2,1,0,2,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,42
"24","znu9lvmbw",4,0,0,1,0,0,0,0,1,0,0,1,2,0,3,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16
"25","64qgjkp2c",0,1,2,1,1,0,1,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14
"26","rk1fcwuay",3,1,0,0,1,1,4,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,1,0,0,0,0,0,25
"27","9ibsc4f56",3,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,14
"28","tmf4x9sbh",7,2,7,3,4,9,3,8,5,3,1,0,8,1,1,15,3,1,1,3,1,0,3,1,7,13,4,2,3,1,3,4,2,3,0,0,132
"29","yrxhg97pq",2,0,0,0,3,0,1,1,2,2,0,0,0,0,1,8,1,0,1,0,0,0,0,0,0,1,5,1,4,1,0,0,0,0,0,0,34
"30","clar3q5xt",10,3,1,9,1,0,1,1,0,0,0,0,0,1,6,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,41
"31","9nsby7rfw",7,5,3,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,24
"32","tsezro84a",15,3,0,15,2,0,0,2,0,0,2,1,1,0,7,1,2,0,23,0,1,2,1,0,0,0,0,8,1,1,3,1,15,1,0,0,108
"33","nqcwd7lez",1,1,1,4,1,1,0,0,1,1,0,1,0,5,1,0,2,3,6,0,0,0,2,0,1,1,0,3,0,0,1,1,5,0,0,0,43
"34","xfpi6v3cz",2,1,0,1,2,1,12,0,1,2,0,0,1,1,0,2,1,1,0,0,0,0,1,0,2,0,3,0,2,0,1,1,1,0,0,0,39
"35","mieb19fnc",4,0,2,4,1,0,2,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,22
"36","s7rpq6c9g",3,1,0,1,0,1,0,0,1,2,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,16
"37","rek4imgp8",8,3,1,0,0,2,3,6,1,0,0,0,8,2,1,2,0,1,0,0,0,0,1,2,6,1,1,2,0,8,1,0,4,1,0,0,65
"38","z6uvdwhbe",5,3,2,3,0,0,1,9,0,1,0,0,1,1,1,0,0,0,0,0,4,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,37
"39","qg1jsawuy",8,0,2,4,1,3,2,0,1,2,1,0,0,0,0,11,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,50
"40","lv7s9u8xp",4,2,1,3,1,1,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,21
"41","wo3bsa5vx",3,3,2,1,0,0,2,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,19
"42","7n3a8kem9",0,2,9,2,0,1,0,9,0,2,1,1,7,0,0,1,2,0,1,0,4,2,2,1,3,1,3,0,2,3,0,0,1,1,0,0,61
"43","2j9pkc8n6",8,1,2,5,0,2,1,4,0,1,0,0,2,5,0,5,9,2,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,53
"44","j9sgq3bz2",4,0,1,4,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15
"45","rixsz4kd1",3,2,0,8,4,1,3,2,2,0,0,1,0,1,3,13,1,1,9,1,0,1,1,0,0,0,0,6,0,0,0,7,6,0,0,0,76
"46","617fv5iyo",3,3,15,4,1,0,2,17,3,0,0,4,6,1,3,17,2,1,3,0,6,0,2,0,0,0,0,0,0,6,2,3,2,0,0,0,106
"47","jfykhpt1c",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7
"48","y6tboa7cj",2,2,3,2,0,0,8,0,8,2,3,0,2,0,1,12,0,1,3,0,0,0,1,0,0,2,6,0,4,1,1,0,0,0,0,0,64
"49","su164zqjk",1,2,2,0,0,1,0,0,0,0,2,0,0,0,0,4,1,0,0,1,0,0,2,0,0,3,0,0,0,1,0,3,1,0,0,0,24
"50","is65bq9kp",6,2,10,2,1,6,4,9,2,1,0,2,8,2,0,1,1,1,1,0,0,0,3,1,7,7,0,0,2,0,0,1,0,0,0,0,80
"51","o7jeqmb29",2,0,1,2,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,13
"52","gyi2s5v4x",6,3,1,0,1,0,0,1,3,1,2,0,0,3,2,2,2,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,5,36
"53","6nozu4ry3",3,1,2,5,0,1,2,4,1,0,0,0,4,0,0,2,1,0,4,0,1,0,0,0,7,0,0,2,0,0,0,0,1,0,0,0,41
"54","7f12yobjn",3,2,2,6,0,1,3,0,1,1,0,1,0,12,1,0,9,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,48
"55","sh5aemold",6,1,0,3,1,0,2,5,1,1,1,1,6,1,1,3,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,2,1,3,44
"56","fl1s7845y",2,1,2,15,1,0,1,2,0,0,0,1,3,0,1,0,0,1,22,0,1,2,1,1,1,3,0,7,2,0,2,2,9,0,0,0,83
"57","3airpjzyf",5,0,1,2,1,1,1,1,0,1,1,2,0,0,4,1,0,0,5,1,0,1,0,0,0,0,0,4,0,1,1,0,2,1,0,0,37
"58","tlk3f7eox",6,2,1,3,0,1,1,0,0,1,1,0,2,0,2,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,26
"59","cytl5gjko",4,0,1,1,0,4,2,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,23
"60","y2ej1v9ap",2,2,2,1,0,0,1,0,4,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,3,0,2,0,0,0,0,0,24
"61","l1tu6q4hr",5,0,1,1,0,1,2,8,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"62","bmphf36rx",1,3,1,1,0,2,3,0,2,1,2,2,1,0,0,1,1,1,0,0,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,28
"63","76gtqzenu",3,0,2,4,0,6,2,2,0,1,0,4,1,2,1,1,8,2,0,2,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,46
"64","uxe5jvsmd",3,1,1,1,1,3,2,0,0,0,0,3,0,0,1,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,25
"65","8zsk4r31o",3,1,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15
"66","eqvnz1tm3",3,1,7,2,0,0,4,9,1,0,0,0,5,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,2,1,0,0,42
"67","wsdm7eu9t",5,1,2,3,0,1,0,1,0,1,1,1,0,0,5,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,26
"68","gxoycs9ar",14,2,1,5,0,1,1,1,0,1,1,0,2,1,8,0,0,2,2,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,50
"69","hnzmja58y",2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,6,21
"70","sehujdnlt",7,0,1,5,1,0,1,2,0,2,2,0,3,1,3,3,1,0,0,0,4,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,42
"71","u1vfzh7k5",1,0,0,1,1,0,0,0,1,0,0,1,2,2,1,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,26
"72","39ngbfx71",5,2,2,3,1,1,5,1,2,1,0,0,0,0,2,0,1,1,2,1,0,1,1,1,0,0,2,2,1,1,0,0,1,1,0,0,41
"73","nvfmbwyg9",7,1,0,7,2,0,2,1,3,1,0,0,0,0,2,1,1,1,0,1,0,0,0,0,2,0,1,1,2,0,1,0,0,0,0,0,37
"74","hi8qp7bz1",3,1,1,3,0,0,1,0,2,2,2,0,0,10,0,0,6,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,7,43
"75","jqs4feybt",6,2,0,9,0,1,3,0,2,0,0,0,2,0,0,2,1,1,3,0,1,0,1,0,0,0,2,0,1,0,2,3,0,0,0,0,42
"76","3axo81iy2",0,2,4,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,17
"77","auw63d1mi",1,4,7,1,0,2,5,4,4,3,0,0,2,0,1,0,0,1,0,1,4,1,0,1,0,0,4,1,4,0,0,0,0,0,0,0,51
"78","9pybftuj1",8,3,4,4,1,0,0,3,0,0,0,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,38
"79","n9xrm6dla",2,1,1,0,2,1,1,0,1,3,0,1,0,1,0,5,0,0,1,2,0,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0,29
"80","on85s31gy",5,0,0,1,1,1,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,18
"81","ucs7ae1h9",2,3,3,2,1,7,2,0,1,0,0,4,1,1,0,0,8,1,0,1,0,4,1,0,0,0,1,1,1,0,0,0,0,3,0,0,48
"82","af7eqjw8r",2,3,1,2,1,3,0,0,1,0,0,0,0,0,1,10,0,0,4,0,2,0,2,0,1,0,0,2,0,0,0,3,4,0,0,0,42
"83","xj94kucwq",9,2,0,5,2,3,0,0,0,0,0,0,0,7,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34
"84","zja6rk2ie",2,3,1,2,0,1,2,2,4,0,1,0,8,0,0,1,1,0,0,0,0,0,0,2,3,1,4,0,1,0,0,0,0,0,0,0,39
"85","ki8bl7zpw",2,0,0,0,0,4,0,1,3,0,0,0,1,0,2,0,2,0,1,1,0,0,0,1,0,5,0,2,0,0,1,1,2,0,0,0,29
"86","p94myqeo6",1,3,0,3,1,2,1,1,4,0,0,2,0,0,0,18,1,0,4,2,0,1,10,1,0,3,0,0,0,0,0,13,1,0,0,0,72
"87","al1fcn5st",6,2,3,4,2,0,1,0,1,1,3,3,0,1,2,8,0,1,1,0,1,2,4,0,0,0,1,0,1,10,4,4,1,0,0,0,67
"88","t5iv3am2s",3,1,0,3,0,1,6,1,2,3,0,4,1,0,2,10,0,2,2,1,1,0,4,2,1,0,9,1,6,3,5,5,1,1,0,0,81
"89","ind4h1by7",8,1,2,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,23
"90","qm2lwcd9o",0,1,1,7,0,0,3,0,0,0,1,0,0,1,1,1,0,1,5,0,0,0,1,0,0,0,0,2,0,0,1,1,2,0,0,0,29
"91","pr8qd7xjv",2,4,0,2,1,3,1,1,1,1,1,1,1,0,3,13,0,1,4,0,1,0,1,0,1,0,0,0,2,0,0,6,1,0,0,6,58
"92","kj5ty2x84",5,1,1,5,1,0,3,2,3,1,2,2,0,0,5,3,0,0,8,0,0,0,2,0,0,0,1,4,0,1,0,4,3,2,0,0,59
"93","w61rayizs",5,5,3,4,1,0,4,7,1,1,1,1,5,0,2,7,1,0,5,1,0,0,2,1,6,1,1,1,2,0,1,2,2,0,0,0,73
"94","chytokxf3",3,2,1,3,0,2,3,0,4,3,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,31
